Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2018-05-11,131.25,1.54,+1.1873%,129.64,127.89,132.09,"5,590,152","725,693,611.8210",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-05-04,129.71,-3.48,-2.6128%,133.88,125.15,134.35,"8,995,717","1,162,897,147.1379",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-04-27,133.19,-3.65,-2.6673%,137.09,130.79,137.68,"9,548,264","1,273,520,361.5996",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-04-20,136.84,0.55,+0.4036%,137.55,135.18,138.99,"7,715,864","1,057,009,071.0644",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-04-13,136.29,-0.96,-0.6995%,137.76,135.6,139.26,"6,167,499","846,639,433.1934",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-04-06,137.25,-1.61,-1.1594%,138.52,132.89,140.03,"8,115,403","1,110,961,367.5630",2018-03-31,7286000000,6508000000,7286000000,778000000,669000000,778000000,850000000,778000000,6508000000,89000000,-109000000,-89000000,887000000,669000000,-946000000,518000000,-381000000,565000000,-122000000,51000000,554000000,-933000000,1273000000,197000000,350000000,-397000000,-581000000,0,-392000000,53000000,103676000000,341000000,80697000000,22979000000,22995000000,33981000000,68401000000,3959000000,77557000000,397000000,63732000000,-1322000000,0,7933000000,71724000000,18679000000,4486000000,7536000000,6963000000,5333000000,22995000000,33981000000,-32675000000,2788000000,2086000000,73734000000,80697000000,103676000000,397000000,270200000
2018-03-30,138.86,3.96,+2.9355%,136.57,135.93,139.97,"6,043,669","834,966,985.6689",2017-12-31,7451000000,6591000000,7451000000,860000000,551000000,860000000,882000000,860000000,6591000000,93000000,-309000000,-369000000,1169000000,551000000,-439000000,-331000000,299000000,738000000,-872000000,-35000000,538000000,-1802000000,1885000000,196000000,350000000,-394000000,77000000,0,158000000,-35000000,103483000000,342000000,79752000000,23731000000,22886000000,33462000000,68132000000,3951000000,72596000000,344000000,63006000000,-343000000,0,7488000000,72502000000,19438000000,9644000000,7144000000,6571000000,5049000000,22886000000,33462000000,-32274000000,2864000000,2025000000,73181000000,79752000000,103483000000,344000000,271400000
2018-03-23,134.9,-6.42,-4.5429%,141.29,134.77,142.64,"7,849,326","1,093,241,280.5010",2017-12-31,7451000000,6591000000,7451000000,860000000,551000000,860000000,882000000,860000000,6591000000,93000000,-309000000,-369000000,1169000000,551000000,-439000000,-331000000,299000000,738000000,-872000000,-35000000,538000000,-1802000000,1885000000,196000000,350000000,-394000000,77000000,0,158000000,-35000000,103483000000,342000000,79752000000,23731000000,22886000000,33462000000,68132000000,3951000000,72596000000,344000000,63006000000,-343000000,0,7488000000,72502000000,19438000000,9644000000,7144000000,6571000000,5049000000,22886000000,33462000000,-32274000000,2864000000,2025000000,73181000000,79752000000,103483000000,344000000,271400000
2018-03-16,141.32,-0.98,-0.6887%,142.79,139.01,143.25,"9,121,903","1,284,705,761.6697",2017-12-31,7451000000,6591000000,7451000000,860000000,551000000,860000000,882000000,860000000,6591000000,93000000,-309000000,-369000000,1169000000,551000000,-439000000,-331000000,299000000,738000000,-872000000,-35000000,538000000,-1802000000,1885000000,196000000,350000000,-394000000,77000000,0,158000000,-35000000,103483000000,342000000,79752000000,23731000000,22886000000,33462000000,68132000000,3951000000,72596000000,344000000,63006000000,-343000000,0,7488000000,72502000000,19438000000,9644000000,7144000000,6571000000,5049000000,22886000000,33462000000,-32274000000,2864000000,2025000000,73181000000,79752000000,103483000000,344000000,271400000
2018-03-09,142.3,4.42,+3.2057%,138.02,137.53,142.43,"8,237,646","1,152,252,307.1202",2017-12-31,7451000000,6591000000,7451000000,860000000,551000000,860000000,882000000,860000000,6591000000,93000000,-309000000,-369000000,1169000000,551000000,-439000000,-331000000,299000000,738000000,-872000000,-35000000,538000000,-1802000000,1885000000,196000000,350000000,-394000000,77000000,0,158000000,-35000000,103483000000,342000000,79752000000,23731000000,22886000000,33462000000,68132000000,3951000000,72596000000,344000000,63006000000,-343000000,0,7488000000,72502000000,19438000000,9644000000,7144000000,6571000000,5049000000,22886000000,33462000000,-32274000000,2864000000,2025000000,73181000000,79752000000,103483000000,344000000,271400000
