Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2019-05-24,109.71,-1.06,-0.956938%,110.58,107.5,111.92,"47,500,339","5,229,519,333.334800",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-05-17,110.77,-1.74,-1.546529%,110.08,108.61,112.17,"53,672,578","5,928,551,347.795900",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-05-10,112.51,-3.61,-3.108853%,114.18,110.54,115.47,"59,376,057","6,703,043,995.514500",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-05-03,116.12,1.65,+1.441426%,114.6,114.445,117.155,"52,842,979","6,128,333,230.476400",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-04-26,114.47,1.01,+0.890182%,112.83,112.5,114.58,"43,616,208","4,958,875,792.391600",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-04-19,113.46,2.25,+2.023199%,110.92,109.12,114.945,"57,040,886","6,389,677,512.979300",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-04-12,111.21,5.9,+5.602507%,105.11,104.25,111.85,"65,048,692","6,994,928,173.604600",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-04-05,105.31,4.08,+4.030426%,102.15,102.12,106.36,"61,179,766","6,416,913,798.752300",2019-03-31,14670000000,17890000000,14670000000,-3220000000,9179000000,11233000000,16395000000,-3220000000,1495000000,-14453000000,2054000000,9179000000,8753000000,34271000000,12904000000,36301000000,2030000000,44942000000,69435000000,31692000000,24856000000,-80880000000,-120772000000,2038000000,-3033000000,-4166000000,14902000000,0,869000000,24856000000,2737188000000,6694000000,2477351000000,259837000000,1493441000000,4105000000,205437000000,47474000000,1050542000000,302604000000,1780919000000,71305000000,-579000000,24160000000,1368502000000,232844000000,483069000000,942712000000,182862000000,242000000,216173000000,4105000000,26993000000,205437000000,-64289000000,1344526000000,1368686000000,182862000000,513872000000,696734000000,88170000000,2737188000000,302604000000
2019-03-29,101.23,1.47,+1.473536%,99.59,98.09,101.99,"76,750,123","7,665,726,322.962000",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-03-22,99.76,-6.79,-6.372595%,106.55,99.52,108.4,"91,611,672","9,494,919,256.317000",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-03-15,106.55,3.54,+3.436560%,103.98,103.66,106.8,"68,742,776","7,225,946,822.814300",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-03-08,103.01,-1.42,-1.359763%,104.92,101.99,105.9155,"55,681,823","5,766,683,440.144900",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-03-01,104.43,-0.57,-0.542857%,105.75,103.94,107.27,"65,635,054","6,896,464,805.258000",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-02-22,105.0,-0.55,-0.521080%,104.91,103.81,106.09,"41,842,547","4,399,989,915.816400",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-02-15,105.55,4.19,+4.133781%,101.76,100.771,105.7,"60,820,220","6,266,698,438.153000",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-02-08,101.36,-2.52,-2.425876%,103.79,100.06,104.62,"57,449,539","5,905,414,711.664300",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-02-01,103.88,0.49,+0.473934%,102.89,102.59,105.24,"65,073,965","6,760,627,264.539200",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-01-25,103.39,-1.2,-1.147337%,103.08,101.94,104.31,"54,939,682","5,657,592,474.237800",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-01-18,104.59,4.68,+4.684216%,98.87,98.6,104.9,"96,972,536","9,887,141,061.931800",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-01-11,99.91,-0.78,-0.774655%,100.43,98.95,101.82,"73,056,100","7,329,348,998.071600",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2019-01-04,100.69,3.86,+3.986368%,97.59,95.94,100.93,"62,129,661","6,118,852,070.794800",2018-12-31,11755000000,17268000000,11755000000,-5513000000,7066000000,8841000000,15720000000,-5513000000,1548000000,-14354000000,1775000000,7066000000,6643000000,-123381000000,-4854000000,-158211000000,-34830000000,16341000000,17839000000,12201000000,-139950000000,422000000,-5686000000,2075000000,-3120000000,-7583000000,-3665000000,0,5486000000,-140304000000,2622532000000,6878000000,2366017000000,256515000000,1470666000000,4105000000,199202000000,47471000000,1102581000000,278793000000,1736652000000,69276000000,-1528000000,14934000000,1361897000000,230447000000,321579000000,971109000000,165014000000,240000000,196710000000,4105000000,26068000000,199202000000,-60494000000,1245701000000,1260635000000,165014000000,464663000000,629677000000,89162000000,2622532000000,278793000000
2018-12-28,96.83,2.66,+2.824679%,92.89,91.11,98.32,"77,820,134","7,377,395,334.984600",2018-09-30,13352000000,16571000000,13352000000,-3219000000,8380000000,10689000000,15623000000,-3219000000,948000000,-13908000000,2309000000,8380000000,7948000000,49022000000,-526000000,-808000000,-49830000000,1357000000,2553000000,6230000000,14934000000,13189000000,2057000000,1992000000,-2273000000,-2761000000,4538000000,0,-3252000000,13917000000,2615183000000,7214000000,2356227000000,258956000000,1458762000000,4105000000,195180000000,47483000000,1079750000000,419097000000,1733104000000,64635000000,-2446000000,14180000000,1482721000000,231192000000,217697000000,941190000000,171391000000,237000000,209707000000,4105000000,27764000000,195180000000,-54980000000,1118282000000,1132462000000,171391000000,452062000000,623453000000,89333000000,2615183000000,419097000000
