Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2017-12-22,140.12,-2.34,-1.642566%,142.56,140.04,143.8,"29,653,448","4,192,112,146.622400",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-12-15,142.46,1.87,+1.330109%,140.1,139.83,143.62,"36,348,629","5,172,763,749.631300",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-12-08,140.59,0.61,+0.435777%,140.62,138.93,141.96,"28,068,243","3,935,405,188.599500",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-12-01,139.98,1.97,+1.427433%,137.51,137.48,140.63,"29,769,724","4,148,981,785.589000",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-11-24,138.01,0.01,+0.007246%,138.15,136.6,139.26,"16,451,144","2,270,336,696.664800",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-11-17,138.0,-1.56,-1.117799%,139.01,137.89,140.2843,"21,653,163","3,011,380,851.789800",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-11-10,139.56,-0.52,-0.371216%,140.01,138.61,141.87,"20,621,164","2,887,876,014.722400",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-11-03,140.08,-1.7,-1.199041%,141.08,138.98,141.21,"22,104,249","3,091,768,039.513800",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-10-27,141.78,-0.62,-0.435393%,142.13,140.2,144.3523,"30,817,032","4,389,314,252.678400",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
2017-10-20,142.4,5.97,+4.375870%,136.45,135.54,143.62,"38,481,036","5,400,386,744.232400",2017-09-30,19650000000,8039000000,6902000000,12748000000,5019000000,3764000000,2574000000,4790000000,5396000000,310000000,4709000000,229000000,69000000,1026000000,0,3764000000,3764000000,-380000000,900000000,-1180000000,-10000000,361000000,-2069000000,3017000000,6266000000,-14000000,1711000000,-2254000000,-176000000,228000000,300000000,-499000000,790000000,176000000,3123000000,155658000000,54569000000,2922000000,81679000000,73979000000,4410000000,15742000000,3120000000,114805000000,18788000000,31308000000,97201000000,15721000000,31806000000,8491000000,-12747000000,16628000000,41829000000,-11898000000,510000000,13155000000,26675000000,9521000000,23315000000,3120000000,114805000000,-31199000000,5021000000,113829000000,26675000000,18788000000,49873000000,155658000000,16231000000
