Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,preferredStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2016-10-14,82.45,-0.43,-0.518822%,83.13,81.11,83.54,"31,031,558","2,556,594,843.782500",2016-09-30,4261000000,1636000000,1384000000,4261000000,2645000000,1931000000,2510000000,1495000000,2736000000,141000000,135000000,579000000,-2256000000,1931000000,1931000000,-616000000,23000000,-757000000,0,-1991000000,61000000,-296000000,2452000000,2771000000,-2275000000,-2361000000,-12532000000,326000000,-84000000,141000000,86000000,-268000000,64035000000,27234000000,1840000000,31123000000,32980000000,4808000000,2957000000,10462000000,2387000000,15066000000,47572000000,6646000000,8046000000,2084000000,-424000000,2150000000,14313000000,3931000000,-15105000000,3319000000,2508000000,15882000000,3005000000,5717000000,10462000000,1341000000,49722000000,2387000000,23077000000,17395000000,64035000000,9965000000
2016-10-07,82.88,0.18,+0.217654%,82.42,82.3,83.7,"36,016,044","2,991,276,985.156100",2016-09-30,4261000000,1636000000,1384000000,4261000000,2645000000,1931000000,2510000000,1495000000,2736000000,141000000,135000000,579000000,-2256000000,1931000000,1931000000,-616000000,23000000,-757000000,0,-1991000000,61000000,-296000000,2452000000,2771000000,-2275000000,-2361000000,-12532000000,326000000,-84000000,141000000,86000000,-268000000,64035000000,27234000000,1840000000,31123000000,32980000000,4808000000,2957000000,10462000000,2387000000,15066000000,47572000000,6646000000,8046000000,2084000000,-424000000,2150000000,14313000000,3931000000,-15105000000,3319000000,2508000000,15882000000,3005000000,5717000000,10462000000,1341000000,49722000000,2387000000,23077000000,17395000000,64035000000,9965000000
2016-09-30,82.7,0.16,+0.193845%,82.15,81.5,83.06,"40,092,775","3,298,308,363.615100",2016-09-30,4261000000,1636000000,1384000000,4261000000,2645000000,1931000000,2510000000,1495000000,2736000000,141000000,135000000,579000000,-2256000000,1931000000,1931000000,-616000000,23000000,-757000000,0,-1991000000,61000000,-296000000,2452000000,2771000000,-2275000000,-2361000000,-12532000000,326000000,-84000000,141000000,86000000,-268000000,64035000000,27234000000,1840000000,31123000000,32980000000,4808000000,2957000000,10462000000,2387000000,15066000000,47572000000,6646000000,8046000000,2084000000,-424000000,2150000000,14313000000,3931000000,-15105000000,3319000000,2508000000,15882000000,3005000000,5717000000,10462000000,1341000000,49722000000,2387000000,23077000000,17395000000,64035000000,9965000000
2016-09-23,82.54,0.47,+0.572682%,82.43,82.23,83.79,"37,254,263","3,085,995,921.486700",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-09-16,82.07,0.74,+0.909873%,81.34,81.1843,83.13,"52,055,102","4,265,155,342.840300",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-09-09,81.33,-0.67,-0.817073%,82.0,81.33,83.6264,"36,969,153","3,052,279,514.495600",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-09-02,82.0,1.43,+1.774854%,80.54,80.54,82.145,"28,930,829","2,349,831,560.985800",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-08-26,80.57,0.1,+0.124270%,80.34,79.96,81.76,"36,696,071","2,963,638,096.891200",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-08-19,80.47,0.45,+0.562359%,80.13,79.74,81.15,"33,063,093","2,661,791,232.670900",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
2016-08-12,80.02,-0.12,-0.149738%,80.23,79.51,80.48,"26,518,876","2,120,880,598.940100",2016-06-30,3630000000,3202000000,1053000000,3630000000,553000000,412000000,422000000,3082000000,428000000,120000000,131000000,10000000,244000000,412000000,412000000,887000000,-30000000,-8313000000,-9068000000,-1984000000,-14000000,-10056000000,303000000,-881000000,959000000,1687000000,9186000000,240000000,-500000000,132000000,343000000,-10056000000,63867000000,27078000000,2030000000,31040000000,65679000000,4977000000,2931000000,10334000000,2401000000,15044000000,47357000000,6914000000,7783000000,1999000000,32284000000,2136000000,14374000000,3762000000,-15012000000,2865000000,2565000000,15879000000,2853000000,5717000000,10334000000,1473000000,49493000000,2401000000,23257000000,17514000000,63867000000,9779000000
