Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-09-11,34.7,-2.19,-5.936568%,36.8974,33.88,37.22,"35,294,791","1,247,755,566.248000",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-09-04,36.89,-1.87,-4.824561%,38.61,36.5,38.7121,"41,620,579","1,550,624,799.763520",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-08-28,38.76,-0.7,-1.773948%,39.62,38.36,40.19,"30,950,354","1,209,222,593.214030",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-08-21,39.46,-2.45,-5.845860%,41.91,39.3,41.9694,"24,359,226","983,664,543.517504",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-08-14,41.91,0.39,+0.939306%,41.63,40.78,44.05,"27,681,890","1,161,379,585.961670",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-08-07,41.52,0.81,+1.989683%,40.58,39.95,41.61,"26,788,686","1,095,747,956.281680",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-07-31,40.71,0.2,+0.493705%,40.61,39.225,41.26,"34,710,676","1,402,678,332.295000",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-07-24,40.51,-0.91,-2.197006%,41.19,40.0,41.51,"23,737,886","962,281,247.794872",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-07-17,41.42,1.3,+3.240279%,40.18,38.915,41.885,"29,919,595","1,208,087,828.188590",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
2020-07-10,40.12,-1.86,-4.430681%,42.65,38.05,43.81,"61,363,863","2,475,942,225.082990",2020-05-31,34631000000,8022000000,28193000000,6438000000,-1618000000,-1708000000,-1773000000,-18000000,8265000000,-34000000,-1584000000,-243000000,155000000,-40000000,209000000,-1733000000,-1708000000,-316000000,-43000000,214000000,-79000000,-913000000,16000000,-42000000,914000000,3000000,478000000,-403000000,-449000000,15000000,465000000,1996000000,257000000,-42000000,86444000000,10184000000,1013000000,65122000000,20736000000,1538000000,2288000000,12000000,34244000000,3405000000,14948000000,1186000000,768000000,26649000000,4379000000,-3871000000,34680000000,18326000000,20736000000,6982000000,12111000000,9563000000,19980000000,12000000,34244000000,-20375000000,68118000000,68118000000,12111000000,24825000000,38473000000,10726000000,86444000000,768000000
