Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-07-31,158.0,-15.76,-9.069982%,173.19,156.26,174.14,"166,729,263","27,651,374,217.451800",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-07-24,173.76,-1.9,-1.081635%,175.13,171.62,182.95,"153,994,370","27,438,339,354.027500",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-07-17,175.66,-2.78,-1.557947%,180.2,173.41,189.53,"191,930,704","34,614,376,515.885100",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-07-10,178.44,-2.37,-1.310768%,184.52,169.75,189.36,"199,163,175","35,784,721,934.724100",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-07-03,180.81,10.8,+6.352567%,181.0,176.27,194.5,"234,822,062","43,231,515,147.676700",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-06-26,170.01,-17.01,-9.095284%,184.56,167.6,190.12,"268,697,764","48,087,041,668.851100",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-06-19,187.02,-2.49,-1.313915%,177.18,175.89,208.3,"336,307,065","64,731,231,726.770300",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-06-12,189.51,-15.92,-7.749598%,222.94,166.01,234.2,"430,739,144","86,799,146,003.612900",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-06-05,205.43,59.58,+40.850189%,145.45,144.55,218.79,"285,507,565","52,158,747,358.909500",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-05-29,145.85,8.32,+6.049589%,145.21,141.24,156.7,"131,893,153","19,502,266,740.212300",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-05-22,137.53,17.53,+14.608333%,126.18,125.7998,144.239,"167,462,705","22,716,473,942.327900",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
2020-05-15,120.0,-13.44,-10.071942%,130.92,113.89,133.12,"132,892,448","16,327,626,205.235600",2020-03-31,16962000000,1547000000,16768000000,140000000,-1241000000,-628000000,672000000,-1503000000,-13000000,873000000,112000000,-1353000000,2000000,262000000,862000000,164000000,-2365000000,-628000000,-17000000,-1416000000,-379000000,66000000,11579000000,10280000000,-162000000,5599000000,-4302000000,504000000,556000000,-1158000000,21000000,-2973000000,-54000000,124000000,428000000,-456000000,5599000000,143075000000,3256000000,152435000000,-9665000000,52883000000,5061000000,49854000000,24179000000,8057000000,5106000000,15039000000,94502000000,5173000000,-16333000000,12405000000,111011000000,3240000000,-20978000000,488000000,12725000000,33754000000,80020000000,36446000000,5061000000,49854000000,-54842000000,4428000000,32064000000,33754000000,23843000000,57933000000,6595000000,143075000000,15527000000
