Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-08-07,86.8,2.86,+3.407196%,83.98,83.8,88.43,"41,873,371","3,605,154,657.551300",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-07-31,83.94,-6.19,-6.867858%,89.76,81.51,91.17,"50,007,607","4,324,116,190.527200",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-07-24,90.13,2.94,+3.371946%,86.83,84.8,92.74,"53,618,444","4,781,983,082.679100",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-07-17,87.19,1.96,+2.299660%,86.04,84.81,90.19,"31,209,838","2,732,952,579.717000",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-07-10,85.23,-3.08,-3.487714%,89.5,82.5,90.25,"34,432,874","2,958,253,901.845700",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-07-03,88.31,1.85,+2.139718%,86.91,86.36,90.77,"27,497,987","2,430,861,428.424300",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-06-26,86.46,-4.17,-4.601125%,90.32,86.18,93.09,"42,395,344","3,761,798,931.223800",2020-03-31,31501000000,6394000000,20800000000,10701000000,4307000000,3599000000,4145000000,-18000000,1850000000,4307000000,4386000000,162000000,158000000,564000000,1698000000,3581000000,3599000000,-3158000000,374000000,5358000000,1378000000,2942000000,4722000000,-1089000000,4288000000,-2407000000,-1573000000,-733000000,-2297000000,3133000000,239000000,2942000000,236677000000,11771000000,91763000000,143930000000,13457000000,1534000000,1832000000,176113000000,39865000000,4454000000,14748000000,8492000000,28235000000,8688000000,-5124000000,152209000000,28562000000,40936000000,139476000000,50000000,10167000000,23663000000,6574000000,27278000000,1832000000,176113000000,-46166000000,10516000000,208115000000,23663000000,55797000000,17275000000,236677000000,50000000
2020-06-19,90.63,-1.76,-1.904968%,89.09,88.21,95.58,"48,946,600","4,495,676,017.920500",2020-03-31,31501000000,6394000000,20800000000,10701000000,4307000000,3599000000,4145000000,-18000000,1850000000,4307000000,4386000000,162000000,158000000,564000000,1698000000,3581000000,3599000000,-3158000000,374000000,5358000000,1378000000,2942000000,4722000000,-1089000000,4288000000,-2407000000,-1573000000,-733000000,-2297000000,3133000000,239000000,2942000000,236677000000,11771000000,91763000000,143930000000,13457000000,1534000000,1832000000,176113000000,39865000000,4454000000,14748000000,8492000000,28235000000,8688000000,-5124000000,152209000000,28562000000,40936000000,139476000000,50000000,10167000000,23663000000,6574000000,27278000000,1832000000,176113000000,-46166000000,10516000000,208115000000,23663000000,55797000000,17275000000,236677000000,50000000
2020-06-12,92.39,-8.42,-8.352346%,102.63,89.12,103.59,"56,799,560","5,502,742,790.882500",2020-03-31,31501000000,6394000000,20800000000,10701000000,4307000000,3599000000,4145000000,-18000000,1850000000,4307000000,4386000000,162000000,158000000,564000000,1698000000,3581000000,3599000000,-3158000000,374000000,5358000000,1378000000,2942000000,4722000000,-1089000000,4288000000,-2407000000,-1573000000,-733000000,-2297000000,3133000000,239000000,2942000000,236677000000,11771000000,91763000000,143930000000,13457000000,1534000000,1832000000,176113000000,39865000000,4454000000,14748000000,8492000000,28235000000,8688000000,-5124000000,152209000000,28562000000,40936000000,139476000000,50000000,10167000000,23663000000,6574000000,27278000000,1832000000,176113000000,-46166000000,10516000000,208115000000,23663000000,55797000000,17275000000,236677000000,50000000
2020-06-05,100.81,9.11,+9.934569%,90.94,90.11,102.05,"42,798,604","4,136,849,523.182700",2020-03-31,31501000000,6394000000,20800000000,10701000000,4307000000,3599000000,4145000000,-18000000,1850000000,4307000000,4386000000,162000000,158000000,564000000,1698000000,3581000000,3599000000,-3158000000,374000000,5358000000,1378000000,2942000000,4722000000,-1089000000,4288000000,-2407000000,-1573000000,-733000000,-2297000000,3133000000,239000000,2942000000,236677000000,11771000000,91763000000,143930000000,13457000000,1534000000,1832000000,176113000000,39865000000,4454000000,14748000000,8492000000,28235000000,8688000000,-5124000000,152209000000,28562000000,40936000000,139476000000,50000000,10167000000,23663000000,6574000000,27278000000,1832000000,176113000000,-46166000000,10516000000,208115000000,23663000000,55797000000,17275000000,236677000000,50000000
