Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2019-04-26,139.03,-4.33,-3.020368%,142.95,134.09,143.18,"28,477,001","3,960,886,904.953700",2019-03-31,13466000000,11259000000,8977000000,13466000000,2374000000,1874000000,435000000,2264000000,3000000,10322000000,167000000,2207000000,502000000,103000000,387000000,160000000,1877000000,1881000000,197000000,-485000000,-181000000,169000000,-3089000000,-1675000000,2664000000,-735000000,1121000000,-44000000,641000000,-494000000,-756000000,-813000000,88000000,547000000,-150000000,-732000000,78726000000,1807000000,1765000000,63248000000,15437000000,2348000000,5804000000,32435000000,11107000000,6191000000,3834000000,7128000000,27388000000,11542000000,-1588000000,13259000000,39126000000,13823000000,7439000000,17893000000,24240000000,12340000000,13498000000,5804000000,32435000000,-21214000000,3142000000,1378000000,24240000000,11620000000,35860000000,78726000000,7128000000,571700000
2019-04-19,143.36,2.16,+1.529745%,141.67,139.59,144.77,"13,677,131","1,947,464,805.867800",2019-03-31,13466000000,11259000000,8977000000,13466000000,2374000000,1874000000,435000000,2264000000,3000000,10322000000,167000000,2207000000,502000000,103000000,387000000,160000000,1877000000,1881000000,197000000,-485000000,-181000000,169000000,-3089000000,-1675000000,2664000000,-735000000,1121000000,-44000000,641000000,-494000000,-756000000,-813000000,88000000,547000000,-150000000,-732000000,78726000000,1807000000,1765000000,63248000000,15437000000,2348000000,5804000000,32435000000,11107000000,6191000000,3834000000,7128000000,27388000000,11542000000,-1588000000,13259000000,39126000000,13823000000,7439000000,17893000000,24240000000,12340000000,13498000000,5804000000,32435000000,-21214000000,3142000000,1378000000,24240000000,11620000000,35860000000,78726000000,7128000000,571700000
2019-04-12,141.2,0.84,+0.598461%,140.0,136.07,141.92,"16,271,210","2,258,950,775.981100",2019-03-31,13466000000,11259000000,8977000000,13466000000,2374000000,1874000000,435000000,2264000000,3000000,10322000000,167000000,2207000000,502000000,103000000,387000000,160000000,1877000000,1881000000,197000000,-485000000,-181000000,169000000,-3089000000,-1675000000,2664000000,-735000000,1121000000,-44000000,641000000,-494000000,-756000000,-813000000,88000000,547000000,-150000000,-732000000,78726000000,1807000000,1765000000,63248000000,15437000000,2348000000,5804000000,32435000000,11107000000,6191000000,3834000000,7128000000,27388000000,11542000000,-1588000000,13259000000,39126000000,13823000000,7439000000,17893000000,24240000000,12340000000,13498000000,5804000000,32435000000,-21214000000,3142000000,1378000000,24240000000,11620000000,35860000000,78726000000,7128000000,571700000
2019-04-05,140.36,4.87,+3.594361%,137.69,136.32,141.15,"18,233,769","2,547,798,709.658500",2019-03-31,13466000000,11259000000,8977000000,13466000000,2374000000,1874000000,435000000,2264000000,3000000,10322000000,167000000,2207000000,502000000,103000000,387000000,160000000,1877000000,1881000000,197000000,-485000000,-181000000,169000000,-3089000000,-1675000000,2664000000,-735000000,1121000000,-44000000,641000000,-494000000,-756000000,-813000000,88000000,547000000,-150000000,-732000000,78726000000,1807000000,1765000000,63248000000,15437000000,2348000000,5804000000,32435000000,11107000000,6191000000,3834000000,7128000000,27388000000,11542000000,-1588000000,13259000000,39126000000,13823000000,7439000000,17893000000,24240000000,12340000000,13498000000,5804000000,32435000000,-21214000000,3142000000,1378000000,24240000000,11620000000,35860000000,78726000000,7128000000,571700000
2019-03-29,135.49,5.72,+4.407798%,129.59,129.23,136.28,"15,385,291","2,042,262,248.645100",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
2019-03-22,129.77,-2.9,-2.185875%,132.7,129.49,135.71,"19,314,924","2,566,478,118.706700",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
2019-03-15,132.67,1.32,+1.004949%,131.91,131.595,134.53,"23,201,154","3,087,656,464.762300",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
2019-03-08,131.35,-6.12,-4.451880%,138.8,130.23,139.7704,"19,397,486","2,616,237,384.953700",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
2019-03-01,137.47,-1.21,-0.872512%,140.99,135.27,142.55,"22,995,597","3,186,317,361.574900",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
2019-02-22,138.68,2.48,+1.820852%,135.35,135.0,140.98,"17,616,431","2,441,223,406.881800",2018-12-31,14342000000,12459000000,10770000000,14342000000,1469000000,1045000000,466000000,1367000000,1000000,29438000000,-414000000,1883000000,-17445000000,99000000,321000000,-362000000,1046000000,1048000000,-171000000,246000000,-798000000,160000000,-1000000000,-1432000000,1852000000,-147000000,2083000000,-353000000,701000000,-507000000,-1779000000,243000000,1091000000,787000000,-894000000,-156000000,78509000000,1897000000,1765000000,64429000000,14039000000,1919000000,5827000000,30427000000,11211000000,6217000000,3443000000,6968000000,28218000000,11553000000,-1684000000,13574000000,38603000000,14447000000,5925000000,17452000000,25000000000,11529000000,14746000000,5827000000,30427000000,-20531000000,2332000000,1439000000,25000000000,11211000000,36211000000,78509000000,7857000000,575500000
