Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,totalNonCurrentAssets,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-09-18,114.66,-3.34,-2.830508%,118.5,114.49,120.48,"38,205,039","4,491,082,990.709200",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-09-11,118.0,5.6,+4.982206%,111.29,110.54,119.25,"24,896,299","2,881,091,096.700600",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-09-04,112.4,0.11,+0.097961%,112.14,110.21,117.41,"27,631,265","3,144,816,228.177600",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-08-28,112.29,2.54,+2.314351%,110.0,109.9,112.79,"25,154,460","2,806,828,309.551900",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-08-21,109.75,3.32,+3.119421%,106.5,105.115,109.77,"27,416,502","2,958,655,780.547200",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-08-14,106.43,4.57,+4.486550%,102.47,102.4,107.3299,"30,061,294","3,174,843,097.819600",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-08-07,101.86,4.25,+4.354062%,98.03,96.55,101.91,"29,847,269","2,964,225,587.519000",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-07-31,97.61,-0.82,-0.833079%,96.96,95.7965,98.4,"24,497,532","2,374,904,322.149900",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-07-24,98.43,2.15,+2.233070%,95.5,95.11,100.18,"25,945,582","2,540,254,630.804400",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-07-17,96.28,-1.71,-1.745076%,98.25,95.51,99.04,"26,041,634","2,531,871,233.999100",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
