Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,warrants,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-09-18,308.02,6.54,+2.169298%,303.01,302.11,312.2499,"12,892,240","3,964,799,868.860400",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-09-11,301.48,-10.52,-3.371795%,311.03,297.29,315.315,"10,297,917","3,158,722,412.887900",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-09-04,312.0,-2.37,-0.753889%,314.89,306.63,323.82,"16,448,884","5,181,768,728.922600",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-08-28,314.37,0.23,+0.073216%,316.81,303.61,316.9,"13,185,624","4,094,839,162.841500",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-08-21,314.14,-9.56,-2.953352%,321.45,310.09,323.8,"12,093,712","3,830,840,752.317600",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-08-14,323.7,6.67,+2.103902%,317.0,314.66,324.57,"12,445,554","3,986,796,837.224100",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-08-07,317.03,14.25,+4.706387%,303.59,299.2,319.0,"15,145,155","4,680,349,771.116300",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-07-31,302.78,1.99,+0.661591%,298.43,297.205,309.75,"13,109,715","3,963,415,406.703400",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-07-24,300.79,-5.74,-1.872574%,306.79,299.23,308.6,"11,436,290","3,476,231,152.582500",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
2020-07-17,306.53,15.3,+5.253580%,292.09,291.77,310.97,"20,476,418","6,240,634,720.537800",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
