Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2019-07-05,137.06,3.1,+2.31%,136.63,134.97,137.74,"69,662,439","9,496,184,787.37",2019-06-30,33717000000,10900000000,10412000000,23305000000,12596000000,13187000000,4513000000,12596000000,6387000000,12405000000,669000000,-591000000,860000000,13187000000,13187000000,-10288000000,7749000000,-7257000000,7082000000,-8686000000,160000000,165000000,16108000000,7286000000,2924000000,-3521000000,-4325000000,-113000000,-10070000000,-4855000000,4051000000,-10070000000,-21000000,144000000,286556000000,7750000000,10146000000,184226000000,102330000000,233000000,42027000000,78520000000,24150000000,35699000000,42026000000,14723000000,11356000000,69420000000,5516000000,-340000000,36477000000,175552000000,2649000000,52554000000,122463000000,29524000000,66662000000,2063000000,21877000000,78520000000,24150000000,22102000000,111004000000,66662000000,47911000000,114806000000,286556000000,133819000000,7643000000
2019-06-28,133.96,-3.01,-2.20%,137.0,132.73,138.4,"124,214,457","16,744,909,803.80",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-06-21,136.97,4.52,+3.41%,132.63,132.53,137.73,"133,967,168","18,183,678,854.25",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-06-14,132.45,1.05,+0.80%,132.4,130.71,134.24,"102,505,844","13,562,831,041.39",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-06-07,131.4,7.72,+6.24%,123.85,119.01,132.25,"147,636,968","18,479,680,469.02",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-05-31,123.68,-2.56,-2.03%,126.98,123.32,128.0,"89,367,881","11,181,901,984.68",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-05-24,126.24,-1.83,-1.43%,126.52,124.74,128.24,"92,123,847","11,661,383,412.79",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-05-17,128.07,0.94,+0.74%,124.11,123.04,130.46,"139,816,701","17,665,117,506.75",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-05-10,127.13,-1.77,-1.37%,126.39,123.57,128.56,"146,827,040","18,475,428,234.18",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
2019-05-03,128.9,-0.99,-0.76%,129.9,125.52,130.7,"119,573,665","15,393,665,602.98",2019-03-31,30571000000,10060000000,10170000000,20401000000,10486000000,8809000000,4316000000,10486000000,5744000000,10341000000,671000000,1677000000,816000000,8809000000,8809000000,47000000,1067000000,-1363000000,1155000000,-7601000000,404000000,4556000000,13520000000,-511000000,2926000000,-3526000000,-4479000000,12000000,460000000,757000000,2565000000,460000000,18000000,4574000000,263281000000,8103000000,7049000000,168417000000,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,-1265000000,33648000000,159887000000,2403000000,44900000000,120406000000,19269000000,66585000000,1951000000,15258000000,77791000000,18338000000,17379000000,103394000000,66585000000,46133000000,114556000000,263281000000,131618000000,7666000000
