Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2016-11-25,41.53,0.62,+1.515522%,40.74,40.73,41.7,"41,747,286","1,723,029,346.491500",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-11-18,40.91,-0.12,-0.292469%,41.13,40.85,41.65,"77,493,568","3,190,860,289.276000",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-11-11,41.03,-0.66,-1.583113%,42.04,40.63,42.98,"94,092,571","3,924,889,676.620000",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-11-04,41.69,-0.54,-1.278712%,42.12,41.69,42.425,"63,307,277","2,665,408,670.321300",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-10-28,42.23,0.1,+0.237361%,42.32,41.9,43.03,"74,745,541","3,173,688,617.393000",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-10-21,42.13,0.46,+1.103912%,41.73,41.57,42.17,"63,479,237","2,661,214,466.416400",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-10-14,41.67,-0.06,-0.143781%,41.92,41.4,41.99,"60,998,754","2,543,061,159.860300",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-10-07,41.73,-0.59,-1.394140%,42.31,41.565,42.34,"52,288,446","2,189,084,037.765100",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-09-30,42.32,-0.42,-0.982686%,42.71,41.85,42.76,"69,527,633","2,939,509,359.892000",2016-09-30,10633000000,4231000000,4131000000,6502000000,1610000000,1046000000,1428000000,4000000,4009000000,-661000000,2271000000,222000000,182000000,378000000,0,1050000000,1046000000,-396000000,80000000,-936000000,-1000000000,113000000,1507000000,2903000000,286000000,420000000,-166000000,1147000000,476000000,-7000000,1500000000,93927000000,10621000000,5554000000,67682000000,26076000000,4243000000,12770000000,1760000000,66457000000,3984000000,10865000000,44799000000,11147000000,27792000000,3473000000,-10209000000,11172000000,37956000000,16917000000,4590000000,14422000000,4082000000,31663000000,2751000000,11549000000,1760000000,66457000000,-46814000000,6396000000,55971000000,31663000000,3984000000,39890000000,14882000000,93927000000,22412000000
2016-09-23,42.74,0.6,+1.423825%,42.16,42.08,43.01,"47,862,666","2,036,218,722.544100",2016-06-30,11539000000,4209000000,4471000000,7068000000,4461000000,3448000000,4299000000,12000000,3912000000,1602000000,2859000000,297000000,162000000,839000000,0,3460000000,3448000000,-1285000000,-736000000,1450000000,-1182000000,-48000000,749000000,3216000000,486000000,445000000,-1072000000,-1175000000,549000000,150000000,899000000,94094000000,11654000000,4025000000,67256000000,26637000000,4497000000,14039000000,1760000000,66921000000,3963000000,11204000000,45558000000,9647000000,29544000000,4895000000,-10153000000,12663000000,35873000000,16215000000,3779000000,14428000000,4768000000,29252000000,3005000000,10610000000,1760000000,66921000000,-46601000000,6485000000,58221000000,29252000000,3963000000,37712000000,14710000000,94094000000,21402000000
2016-09-16,42.14,-0.13,-0.307547%,42.36,41.88,43.23,"65,317,540","2,769,585,416.872700",2016-06-30,11539000000,4209000000,4471000000,7068000000,4461000000,3448000000,4299000000,12000000,3912000000,1602000000,2859000000,297000000,162000000,839000000,0,3460000000,3448000000,-1285000000,-736000000,1450000000,-1182000000,-48000000,749000000,3216000000,486000000,445000000,-1072000000,-1175000000,549000000,150000000,899000000,94094000000,11654000000,4025000000,67256000000,26637000000,4497000000,14039000000,1760000000,66921000000,3963000000,11204000000,45558000000,9647000000,29544000000,4895000000,-10153000000,12663000000,35873000000,16215000000,3779000000,14428000000,4768000000,29252000000,3005000000,10610000000,1760000000,66921000000,-46601000000,6485000000,58221000000,29252000000,3963000000,37712000000,14710000000,94094000000,21402000000
