Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2017-12-29,254.76,-4.21,-1.625671%,258.19,252.91,259.2,"6,677,656","1,708,737,800.152800",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-12-22,258.97,1.8,+0.699926%,260.0,254.55,262.1363,"12,261,873","3,176,867,979.189900",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-12-15,257.17,6.82,+2.724186%,250.0,248.76,260.5,"17,077,376","4,377,775,206.041500",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-12-08,250.35,1.4,+0.562362%,254.89,244.4,254.9,"12,810,459","3,192,498,704.009300",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-12-01,248.95,13.0,+5.509642%,235.75,234.33,250.79,"20,842,511","5,081,051,757.367100",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-11-24,235.95,-2.07,-0.869675%,238.78,235.55,239.59,"7,670,352","1,823,672,451.558400",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-11-17,238.02,-2.13,-0.886946%,237.97,233.55,240.9,"12,648,950","3,012,458,560.581600",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-11-10,240.15,-4.25,-1.738953%,243.5,237.55,244.98,"10,547,077","2,543,194,836.533000",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-11-03,244.4,2.69,+1.112904%,240.1,239.53,247.74,"11,856,409","2,891,933,190.294500",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
2017-10-27,241.71,-3.02,-1.234013%,244.39,239.67,246.5,"11,213,581","2,722,800,160.860900",2017-09-30,7596000000,5350000000,5451000000,7596000000,2246000000,2128000000,2976000000,8839000000,5350000000,2246000000,3424000000,-730000000,848000000,2128000000,2035000000,93000000,-9927000000,-2902000000,-11144000000,-528000000,14558000000,14132000000,1461000000,5722000000,2734000000,3070000000,280000000,-395000000,-1492000000,158000000,689000000,5722000000,930132000000,4058000000,188394000000,843840000000,86292000000,155500000000,9000000,93958000000,5186000000,3665000000,14688000000,116610000000,371646000000,13160000000,1639000000,14805000000,393147000000,394960000000,75089000000,88143000000,211852000000,202986000000,9000000,11203000000,93958000000,-73811000000,142025000000,536985000000,211852000000,260342000000,472194000000,53294000000,930132000000,116610000000,379098583
