Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2019-09-20,122.24,0.12,+0.098264%,121.81,119.015,122.6,"42,008,037","5,098,100,720.144300",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-09-13,122.12,-0.75,-0.610401%,122.71,119.36,123.21,"37,781,848","4,587,161,186.518700",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-09-06,122.87,2.64,+2.195791%,119.79,119.6335,123.43,"23,360,783","2,860,675,863.090100",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-08-30,120.23,2.91,+2.480395%,117.75,117.215,122.0,"28,283,390","3,403,743,377.786000",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-08-23,117.32,-1.86,-1.560665%,119.97,116.43,120.45,"28,544,298","3,399,352,641.943000",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-08-16,119.18,2.4,+2.055146%,116.78,115.59,119.54,"37,962,529","4,453,090,936.767100",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-08-09,116.78,0.34,+0.291996%,116.09,112.68,118.04,"46,329,107","5,338,567,027.762800",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-08-02,116.44,1.71,+1.490456%,114.73,114.62,121.76,"62,774,033","7,433,577,661.606200",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-07-26,114.73,-0.28,-0.243457%,115.04,111.38,116.05,"35,218,535","4,000,689,368.788100",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
2019-07-19,115.01,0.02,+0.017393%,115.07,114.79,116.52,"34,123,595","3,945,162,312.946900",2019-06-30,17094000000,13348000000,8938000000,8156000000,-4954000000,-6641000000,-5065000000,4000000,5003000000,-5192000000,111000000,4034000000,-8159000000,-9099000000,-6641000000,1091000000,415000000,647000000,370000000,-351000000,-3304000000,1494000000,4151000000,820000000,-1937000000,-1016000000,362000000,273000000,-391000000,814000000,115095000000,24215000000,67516000000,110855000000,4009000000,94918000000,17110000000,40273000000,6863000000,4239000000,30011000000,47579000000,21271000000,22473000000,-18222000000,4951000000,20395000000,5017000000,20314000000,-100406000000,6863000000,92622000000,20395000000,10211000000,37505000000,63827000000,10287000000
