Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-09-18,220.27,2.27,+1.041284%,219.72,219.34,226.72,"15,887,907","3,532,292,362.543600",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-09-11,218.0,6.27,+2.961319%,211.18,211.06,219.48,"14,263,196","3,087,363,970.831400",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-09-04,211.73,-3.18,-1.479689%,213.52,210.5816,218.11,"16,875,252","3,610,623,103.861700",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-08-28,214.91,3.34,+1.578674%,212.26,210.93,216.71,"13,522,501","2,887,515,127.637300",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-08-21,211.57,4.54,+2.192919%,206.94,206.85,212.185,"13,821,751","2,899,519,229.378000",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-08-14,207.03,2.43,+1.187683%,204.35,202.5367,207.42,"11,284,691","2,321,015,336.637800",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-08-07,204.6,10.32,+5.311921%,194.33,193.59,205.16,"15,265,090","3,047,949,180.212600",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-07-31,194.28,-4.44,-2.234300%,199.04,191.6403,202.52,"19,836,748","3,909,789,770.927000",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-07-24,198.72,7.24,+3.781074%,190.9,190.37,199.65,"14,050,108","2,751,734,481.773600",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-07-17,191.48,6.6,+3.569883%,185.6,184.71,194.0,"15,179,695","2,881,712,673.642200",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-07-10,184.88,1.36,+0.741064%,186.0,182.62,188.72,"13,395,378","2,488,671,458.402900",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-07-03,183.52,3.78,+2.103038%,180.57,179.17,187.0,"10,669,279","1,959,803,854.304700",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
2020-06-26,179.74,-6.82,-3.655660%,186.0,178.88,189.73,"18,574,260","3,410,097,472.266300",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-06-19,186.56,-2.61,-1.379711%,184.6,184.13,193.5,"22,507,364","4,262,128,452.688100",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-06-12,189.17,-7.99,-4.052546%,195.68,185.45,202.73,"21,536,951","4,184,051,955.954900",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-06-05,197.16,10.84,+5.817948%,186.71,185.6,200.15,"17,374,105","3,343,510,504.447800",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-05-29,186.32,1.91,+1.035736%,189.59,184.24,190.66,"17,271,840","3,233,021,909.205600",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-05-22,184.41,10.6,+6.098613%,180.06,178.07,185.48,"18,328,165","3,338,542,166.395800",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-05-15,173.81,-7.42,-4.094245%,179.37,167.85,182.88,"22,718,973","3,974,577,097.528000",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-05-08,181.23,-1.43,-0.782875%,181.31,176.86,183.86,"18,224,176","3,290,734,589.644000",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-05-01,182.66,-1.36,-0.739050%,185.15,180.76,190.41,"22,210,374","4,131,928,347.722200",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-04-24,184.02,-2.08,-1.117679%,184.45,176.1,187.73,"21,230,643","3,872,154,611.149400",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-04-17,186.1,2.4,+1.306478%,182.68,172.27,186.81,"25,596,887","4,614,083,834.453100",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-04-10,183.7,23.37,+14.576187%,169.2,168.24,185.46,"26,746,797","4,740,303,186.462200",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
2020-04-03,160.33,-3.68,-2.243766%,164.92,155.0,170.31,"24,666,785","4,009,286,972.583900",2020-03-31,4714400000,648300000,2372500000,2341900000,1609400000,1106900000,1444900000,581800000,31300000,1693600000,-100000,280000000,338000000,-32600000,1106900000,1106900000,-518400000,-35900000,5388500000,3533000000,-121500000,4560600000,1546000000,421300000,-930700000,-803300000,214400000,482500000,-79300000,4481300000,50568000000,442700000,47391100000,-9293400000,2304700000,688600000,16600000,53106700000,5356700000,2627400000,2445400000,5379800000,3987800000,-2996400000,23595900000,7556900000,1276800000,549500000,1695300000,38046600000,39100000,2193200000,16600000,53106700000,-67133800000,43011100000,38046600000,3052000000,43403300000,7713500000,50568000000,5379800000
