Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-09-18,85.81,1.33,+1.574337%,84.2,83.65,86.3,"47,883,593","4,071,887,427.433900",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-09-11,84.48,-0.76,-0.891600%,85.94,83.0,85.94,"30,569,392","2,575,639,185.872200",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-09-04,85.24,-0.41,-0.478692%,85.6,83.92,87.8,"46,415,044","3,971,462,953.769500",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-08-28,85.65,0.67,+0.788421%,85.2,84.48,86.29,"36,518,787","3,120,467,009.238000",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-08-21,84.98,1.5,+1.796838%,84.28,83.77,85.71,"33,858,101","2,872,753,097.142200",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-08-14,83.48,2.46,+3.036287%,81.01,80.3,84.43,"33,933,148","2,792,613,141.336300",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-08-07,81.02,0.78,+0.972084%,82.15,80.03,83.8,"36,787,258","3,003,819,967.209700",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-07-31,80.24,3.14,+4.072633%,76.41,76.31,81.68,"43,219,089","3,425,681,423.698400",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-07-24,77.1,-2.77,-3.468136%,79.87,76.36,80.2,"45,221,144","3,547,707,308.011400",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-07-17,79.87,3.14,+4.092272%,77.0,76.73,80.25,"36,512,026","2,878,919,078.701400",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
