Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2017-01-06,178.23,-0.34,-0.190402%,178.83,175.8,180.0,"7,124,937","1,268,255,983.361800",2016-12-31,7329000000,1948000000,3716000000,3613000000,1674000000,1155000000,421000000,1610000000,1000000,1527000000,1665000000,64000000,454000000,-17000000,1156000000,1155000000,79000000,201000000,-230000000,127000000,-299000000,-1846000000,-22000000,133000000,2209000000,68000000,384000000,-664000000,-861000000,72000000,-313000000,172000000,436000000,156000000,-43000000,90000000,32906000000,2320000000,1271000000,22563000000,10298000000,2472000000,9000000,37907000000,5476000000,9166000000,12664000000,2398000000,6219000000,-32679000000,8516000000,11726000000,-1188000000,280000000,4392000000,10678000000,3385000000,2775000000,9000000,37907000000,1033000000,21180000000,10678000000,5666000000,16344000000,5061000000,32906000000,2678000000,-14983000000,596726278
2016-12-30,178.57,-0.18,-0.100699%,178.66,178.02,179.48,"4,635,156","828,192,424.731600",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-12-23,178.75,1.3,+0.732601%,177.61,177.32,179.53,"6,273,061","1,121,013,137.791900",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-12-16,177.45,-1.04,-0.582666%,178.25,175.051,180.06,"13,184,206","2,342,939,883.808300",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-12-09,178.49,6.06,+3.514470%,172.63,171.085,178.87,"11,254,540","1,963,818,388.179300",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-12-02,172.43,-1.06,-0.610986%,173.56,171.45,173.77,"9,385,086","1,618,206,294.864000",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-11-25,173.49,0.53,+0.306429%,171.42,170.72,173.99,"5,971,042","1,027,039,670.266800",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-11-18,172.96,-2.12,-1.210875%,175.23,171.57,175.51,"10,301,971","1,780,272,004.445100",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-11-11,175.08,8.6,+5.165786%,168.15,165.84,175.13,"12,694,626","2,175,347,211.135800",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
2016-11-04,166.48,0.71,+0.428304%,166.46,163.85,167.8501,"11,410,841","1,891,712,838.909500",2016-09-30,7709000000,1958000000,3847000000,3862000000,1912000000,1329000000,427000000,1862000000,2000000,1531000000,1904000000,50000000,531000000,-11000000,1331000000,1329000000,-181000000,207000000,-543000000,-15000000,1679000000,-752000000,-1116000000,613000000,1908000000,104000000,368000000,-670000000,-645000000,27000000,0,-79000000,347000000,-50000000,7000000,620000000,34051000000,2422000000,1159000000,22003000000,12002000000,2404000000,9000000,37745000000,4524000000,9430000000,13201000000,2308000000,6400000000,-30764000000,8671000000,12179000000,150000000,358000000,4743000000,11079000000,3611000000,2714000000,9000000,37745000000,1208000000,21872000000,11079000000,4524000000,15603000000,5012000000,34051000000,2666000000,-15471000000,619000000
