Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2019-11-15,171.88,-1.27,-0.733468%,172.5,169.58,172.69,"10,467,042","1,790,642,603.176500",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-11-08,173.15,3.06,+1.799048%,171.62,171.62,176.71,"14,434,437","2,513,340,706.636400",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-11-01,170.09,4.0,+2.408333%,166.48,163.55,170.15,"12,708,342","2,134,843,459.076500",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-10-25,166.09,2.99,+1.833231%,165.47,159.6311,168.905,"15,878,934","2,618,398,407.820200",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-10-18,163.1,5.0,+3.162555%,158.04,157.34,165.49,"13,017,222","2,116,107,251.179400",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-10-11,158.1,2.28,+1.463227%,155.0,150.58,159.6,"16,667,173","2,562,408,458.577100",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-10-04,155.82,-8.71,-5.293867%,165.21,150.81,165.565,"14,643,511","2,311,456,706.025000",2019-09-30,7991000000,6086000000,4188000000,3803000000,2454000000,1583000000,443000000,1966000000,62000000,1455000000,1905000000,109000000,378000000,144000000,1588000000,1583000000,90000000,-49000000,90000000,27000000,3826000000,2804000000,-124000000,4882000000,2022000000,-464000000,379000000,-828000000,-142000000,180000000,244000000,-425000000,349000000,244000000,-34000000,4882000000,42550000000,2847000000,515000000,31786000000,10702000000,2735000000,9000000,42085000000,5786000000,10410000000,1506000000,7731000000,7821000000,-7388000000,9725000000,18020000000,-2555000000,30000000,5020000000,17479000000,4007000000,2079000000,9000000,42085000000,1548000000,24530000000,17479000000,3235000000,23965000000,5861000000,42550000000,30000000,-16617000000,583000000
2019-09-27,164.53,-2.23,-1.337251%,165.49,162.8,167.55,"13,610,205","2,242,032,654.742000",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-09-20,166.76,-4.68,-2.729818%,171.21,165.25,171.21,"12,736,345","2,136,203,736.353700",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-09-13,171.44,7.5,+4.574844%,165.0,164.69,172.48,"15,315,339","2,581,023,737.558000",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-09-06,163.94,2.22,+1.372743%,161.4,157.26,166.4148,"7,540,671","1,221,526,839.324200",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-08-30,161.72,5.87,+3.766442%,157.01,154.0,162.1458,"11,987,086","1,896,249,352.849200",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-08-23,155.85,-5.65,-3.498452%,163.71,155.27,163.953,"12,548,865","2,010,312,810.664800",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-08-16,161.5,-1.97,-1.205114%,163.02,155.63,167.88,"16,711,748","2,688,941,282.222800",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-08-09,163.47,-7.08,-4.151275%,168.95,158.04,169.02,"17,225,277","2,809,341,196.020100",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-08-02,170.55,-3.43,-1.971491%,173.83,169.81,178.0236,"12,438,028","2,174,778,861.528200",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-07-26,173.98,1.37,+0.793697%,172.81,170.57,187.72,"19,276,038","3,431,954,722.034500",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-07-19,172.61,-0.73,-0.421138%,173.38,171.21,177.25,"13,637,797","2,378,144,814.925600",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-07-12,173.34,1.34,+0.779070%,169.92,164.29,173.36,"15,459,162","2,596,912,106.807300",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-07-05,172.0,-1.34,-0.773047%,175.46,169.725,175.78,"6,574,841","1,141,215,809.946400",2019-06-30,8171000000,6469000000,4313000000,3858000000,1933000000,1127000000,470000000,1446000000,4000000,1686000000,1702000000,111000000,315000000,-163000000,1131000000,1127000000,-10000000,-333000000,-10000000,15000000,-638000000,-1735000000,-17000000,-89000000,1662000000,219000000,376000000,-830000000,-400000000,253000000,-180000000,196000000,421000000,-180000000,-6000000,-89000000,38969000000,2964000000,440000000,28827000000,10083000000,3169000000,9000000,41362000000,5849000000,10574000000,1503000000,2849000000,7265000000,-37100000000,8998000000,14051000000,-3455000000,139000000,5374000000,14914000000,4300000000,2130000000,9000000,41362000000,1503000000,24918000000,14914000000,3268000000,21562000000,5812000000,38969000000,139000000,-16567000000,586000000
2019-06-28,173.34,-0.01,-0.005769%,173.35,170.65,174.37,"12,576,904","2,173,134,344.497200",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-06-21,173.35,6.66,+3.995441%,167.1,166.4567,174.56,"16,128,943","2,770,638,848.559900",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-06-14,166.69,0.08,+0.048016%,168.11,166.05,170.36,"11,511,954","1,939,841,894.624300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-06-07,166.61,6.86,+4.294210%,159.75,159.32,167.09,"16,235,077","2,652,828,623.574700",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-05-31,159.75,-6.34,-3.817208%,166.8,159.63,166.99,"14,544,895","2,355,932,195.442300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-05-24,166.09,-3.0,-1.774203%,167.96,164.59,170.76,"19,224,926","3,213,495,732.316200",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-05-17,169.09,-6.77,-3.849653%,173.935,168.43,176.97,"21,580,985","3,735,219,784.931300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-05-10,175.86,-9.36,-5.053450%,182.04,173.01,183.1055,"25,034,206","4,467,314,958.838800",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-05-03,185.22,-6.45,-3.365159%,191.52,183.38,192.19,"22,565,606","4,218,459,823.880300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-04-26,191.67,-27.21,-12.431469%,217.3,189.36,219.75,"24,151,683","4,793,021,514.504900",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-04-19,218.88,1.46,+0.671511%,216.84,214.9,219.67,"6,790,730","1,476,269,045.766800",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-04-12,217.42,2.01,+0.933104%,214.71,210.72,217.49,"7,098,929","1,517,767,587.699300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
2019-04-05,215.41,7.63,+3.672153%,209.89,209.255,216.49,"8,523,917","1,816,023,421.802300",2019-03-31,7863000000,2417000000,4310000000,3553000000,1088000000,891000000,477000000,1088000000,2000000,1948000000,1136000000,104000000,195000000,44000000,893000000,891000000,-142000000,-3000000,-1225000000,-692000000,1591000000,258000000,-17000000,81000000,1048000000,-35000000,375000000,-830000000,-486000000,-178000000,-78000000,74000000,391000000,-78000000,4000000,85000000,39140000000,3047000000,4124000000,29383000000,9703000000,3326000000,9000000,41159000000,6032000000,10611000000,1463000000,2938000000,7125000000,-37220000000,8829000000,14374000000,-3955000000,539000000,5173000000,15580000000,4538000000,3009000000,9000000,41159000000,2279000000,24766000000,15580000000,6678000000,22258000000,5755000000,39140000000,539000000,-16295000000,589000000
