Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,warrants,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-09-18,168.7,2.25,+1.351757%,168.01,166.71,171.45,"14,709,112","2,489,793,260.558500",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-09-11,166.45,-0.24,-0.143980%,165.19,163.2971,167.55,"10,536,656","1,744,836,221.509000",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-09-04,166.69,-1.69,-1.003682%,168.58,163.5,173.8203,"19,503,373","3,272,164,007.973100",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-08-28,168.38,10.88,+6.907937%,158.1,156.51,168.7,"30,247,231","5,024,683,572.765400",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-08-21,157.5,-2.78,-1.734465%,160.03,155.21,160.88,"10,893,221","1,716,486,511.298100",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-08-14,160.28,5.17,+3.333118%,155.16,155.16,163.25,"14,723,075","2,356,397,788.777200",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-08-07,155.11,5.74,+3.842806%,150.13,146.21,155.26,"14,356,740","2,156,977,558.234600",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-07-31,149.37,-0.06,-0.040153%,148.8,147.0,155.43,"17,405,007","2,620,688,027.928000",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-07-24,149.43,-5.57,-3.593548%,154.12,149.04,157.02,"16,063,442","2,462,000,220.443900",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
2020-07-17,155.0,12.55,+8.810109%,143.58,142.25,155.38,"16,807,004","2,536,761,717.914100",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
