Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
20-Dec-2019,175.370000,+6.580000,+3.898335%,168.940000,168.190000,175.470000,"18,131,541","3,120,173,886.025400"
13-Dec-2019,168.790000,-2.680000,-1.562956%,169.400000,166.325000,171.260000,"11,587,584","1,955,332,130.062100"
06-Dec-2019,171.470000,+1.700000,+1.001355%,170.160000,162.720100,171.990000,"14,400,807","2,413,128,574.817400"
29-Nov-2019,169.770000,+2.170000,+1.294749%,168.470000,167.871000,171.370000,"7,647,244","1,298,021,261.455000"
22-Nov-2019,167.600000,-4.280000,-2.490109%,170.790000,164.510000,171.720000,"13,723,358","2,302,027,312.053800"
15-Nov-2019,171.880000,-1.270000,-0.733468%,172.500000,169.580000,172.690000,"10,467,042","1,790,642,603.176500"
08-Nov-2019,173.150000,+3.060000,+1.799048%,171.620000,171.620000,176.710000,"14,434,437","2,513,340,706.636400"
01-Nov-2019,170.090000,+4.000000,+2.408333%,166.480000,163.550000,170.150000,"12,708,342","2,134,843,459.076500"
25-Oct-2019,166.090000,+2.990000,+1.833231%,165.470000,159.631100,168.905000,"15,878,934","2,618,398,407.820200"
18-Oct-2019,163.100000,+5.000000,+3.162555%,158.040000,157.340000,165.490000,"13,017,222","2,116,107,251.179400"
11-Oct-2019,158.100000,+2.280000,+1.463227%,155.000000,150.580000,159.600000,"16,667,173","2,562,408,458.577100"
04-Oct-2019,155.820000,-8.710000,-5.293867%,165.210000,150.810000,165.565000,"14,643,511","2,311,456,706.025000"
27-Sep-2019,164.530000,-2.230000,-1.337251%,165.490000,162.800000,167.550000,"13,610,205","2,242,032,654.742000"
20-Sep-2019,166.760000,-4.680000,-2.729818%,171.210000,165.250000,171.210000,"12,736,345","2,136,203,736.353700"
13-Sep-2019,171.440000,+7.500000,+4.574844%,165.000000,164.690000,172.480000,"15,315,339","2,581,023,737.558000"
06-Sep-2019,163.940000,+2.220000,+1.372743%,161.400000,157.260000,166.414800,"7,540,671","1,221,526,839.324200"
30-Aug-2019,161.720000,+5.870000,+3.766442%,157.010000,154.000000,162.145800,"11,987,086","1,896,249,352.849200"
